CODIGO	FECHA	VALOR	UNIDAD_MEDIDA
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/09/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/09/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/09/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/09/1984 00:00:00	219,58	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/09/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/09/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/09/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/09/1984 00:00:00	219,68	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/09/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/09/1984 00:00:00	219,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/09/1984 00:00:00	219,59	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/09/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/09/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/09/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/09/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/09/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/09/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/09/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/09/1984 00:00:00	219,56	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/09/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	30/09/1984 00:00:00	219,8	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/10/1984 00:00:00	219,8	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/10/1984 00:00:00	219,72	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/10/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/10/1984 00:00:00	219,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/10/1984 00:00:00	219,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/10/1984 00:00:00	219,56	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/10/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/10/1984 00:00:00	219,72	msnm
